event_id,timestamp,user_id,product_id,quantity,price
1,2025-09-03 00:02:58,3750,17120,2,872.01
2,2025-09-08 12:46:25,491,11230,3,271.23
3,2025-09-01 12:04:29,2258,18180,1,997.66
4,2025-09-07 03:22:06,868,16927,2,1735.08
5,2025-08-21 07:51:43,1141,8730,3,1949.32
6,2025-08-17 10:59:41,4577,11807,1,444.94
7,2025-08-17 15:08:45,1126,7800,3,910.02
8,2025-08-23 10:10:24,2165,13002,3,1825.34
9,2025-08-22 22:57:13,3474,15392,2,1457.95
10,2025-09-05 03:10:15,6512,5558,3,107.86
11,2025-09-08 21:21:16,509,8992,1,1341.22
12,2025-08-30 10:34:43,648,5829,2,464.69
13,2025-08-31 11:31:02,6770,7620,3,921.92
14,2025-09-03 20:19:17,5511,15133,3,799.32
15,2025-08-18 08:54:12,9183,16358,3,1449.8
16,2025-08-25 17:47:27,1929,12245,3,1941.02
17,2025-08-31 19:16:27,9950,17937,3,166.76
18,2025-09-08 08:44:54,6775,14242,1,220.69
19,2025-08-23 01:14:32,164,12954,1,1731.41
20,2025-09-06 16:58:34,6580,5537,1,515.59
21,2025-09-02 23:41:14,1384,6055,1,1544.11
22,2025-08-31 21:24:45,3415,19055,3,1073.16
23,2025-09-06 23:24:53,5804,10671,3,117.44
24,2025-09-01 20:08:47,1684,8734,1,987.17
25,2025-08-17 08:54:54,3153,17770,2,1100.66
26,2025-09-03 18:22:37,1223,14941,1,1070.05
27,2025-09-01 00:00:46,9381,9596,3,604.88
28,2025-08-23 21:18:27,9258,9593,3,1604.46
29,2025-08-17 09:04:04,9976,16920,1,1046.64
30,2025-08-16 09:34:48,3821,7112,3,913.4
31,2025-08-26 18:30:12,7608,6499,2,1611.51
32,2025-08-18 11:37:36,1226,6845,1,698.87
33,2025-09-04 03:26:25,8962,10400,3,1331.11
34,2025-08-23 13:46:06,6918,16445,2,1702.69
35,2025-08-21 23:33:19,8649,15243,1,464.11
36,2025-08-20 23:13:47,7334,2924,2,1148.21
37,2025-09-03 21:19:28,8761,3648,3,998.07
38,2025-08-14 21:42:33,8484,14327,1,972.24
39,2025-08-20 13:37:57,1938,17696,3,1409.79
40,2025-08-20 17:25:39,2191,17920,2,107.1
41,2025-09-09 19:39:07,9507,8959,2,1165.86
42,2025-09-05 23:24:56,964,6451,3,1290.97
43,2025-08-15 20:17:05,2843,2786,1,798.2
44,2025-09-11 10:16:14,8437,1544,2,1725.31
45,2025-08-15 10:10:44,1450,9082,3,1427.14
46,2025-08-21 18:18:31,8073,13183,3,946.27
47,2025-09-05 17:17:06,3735,16710,2,61.52
48,2025-09-08 14:05:03,2150,3776,3,1972.59
49,2025-08-15 00:34:40,579,12192,3,1286.47
50,2025-08-29 23:29:11,3105,11373,1,1081.14
51,2025-08-14 11:54:49,9063,20,3,280.11
52,2025-08-18 00:55:40,6668,6109,1,910.22
53,2025-08-27 18:16:45,7924,8656,1,1278.99
54,2025-09-02 00:27:49,285,17062,1,1613.58
55,2025-08-31 00:33:58,5526,4540,2,1382.44
56,2025-08-24 04:56:01,1982,6379,3,759.75
57,2025-08-29 13:02:56,7810,14669,1,1223.86
58,2025-09-07 23:06:58,1614,15533,3,1210.34
59,2025-08-12 19:23:34,2409,9131,1,1257.99
60,2025-08-25 02:14:46,9373,3129,2,1364.25
61,2025-08-26 13:13:00,5613,17244,3,165.99
62,2025-08-29 23:43:05,7063,5645,2,248.8
63,2025-09-08 06:23:00,6439,19936,3,1473.13
64,2025-08-19 02:47:04,5016,14244,3,1457.6
65,2025-09-02 17:01:27,7502,9275,3,409.61
66,2025-08-23 04:47:47,7841,4883,3,1899.91
67,2025-08-25 05:44:38,1120,8947,2,888.08
68,2025-08-26 09:43:59,4753,19036,2,1458.92
69,2025-08-25 17:41:16,1952,18181,1,1711.76
70,2025-08-14 13:11:47,9966,11756,1,1736.37
71,2025-08-22 03:23:58,7790,13307,1,166.51
72,2025-08-26 06:10:43,8523,1451,2,1310.46
73,2025-08-29 01:44:35,8184,1025,3,1855.49
74,2025-08-14 19:34:16,842,6728,2,283.28
75,2025-08-14 07:11:35,7589,13975,2,1914.46
76,2025-08-23 19:30:42,1812,12600,1,1289.75
77,2025-08-30 07:04:19,8089,3618,1,1924.47
78,2025-08-31 06:53:57,7883,3180,2,1495.33
79,2025-08-30 06:54:19,7100,14963,1,1536.76
80,2025-08-16 01:14:51,266,7774,3,1289.87
81,2025-08-18 14:21:43,7717,11453,1,1351.11
82,2025-08-30 12:55:31,5853,17491,2,604.72
83,2025-08-31 14:21:18,8435,10266,1,1122.43
84,2025-08-28 08:46:44,2866,10237,3,831.69
85,2025-08-16 02:28:49,1158,10072,1,405.81
86,2025-09-03 11:35:33,9878,4847,3,306.67
87,2025-09-08 06:13:07,1221,19701,2,1162.3
88,2025-09-01 17:51:10,4177,19169,1,1429.5
89,2025-09-09 12:42:58,9174,1505,1,196.36
90,2025-09-03 23:46:31,6074,12746,1,1398.27
91,2025-09-04 15:08:51,1459,9260,3,926.34
92,2025-08-22 01:08:13,6269,12408,3,214.22
93,2025-09-07 08:38:16,491,16949,1,345.1
94,2025-08-26 14:37:27,4018,7842,3,481.64
95,2025-08-17 07:58:31,3449,13233,1,1005.42
96,2025-08-28 12:49:16,5070,7618,3,1239.71
97,2025-08-15 05:43:12,9899,9377,1,743.33
98,2025-08-16 22:08:20,1139,11772,3,323.72
99,2025-08-15 04:52:00,6925,11304,1,1108.21
100,2025-08-30 16:41:46,9773,16869,1,1434.67
101,2025-08-19 11:23:47,4158,14869,2,750.77
102,2025-08-22 11:06:50,2532,13300,3,1271.64
103,2025-08-20 22:00:38,5463,9975,3,1605.14
104,2025-08-14 03:37:19,9536,14654,2,485.86
105,2025-08-22 01:19:01,1691,2359,1,1679.93
106,2025-09-07 18:19:43,6721,4015,3,1874.03
107,2025-09-10 20:49:43,6454,14530,1,753.17
108,2025-09-01 02:52:44,4444,17294,2,1342.19
109,2025-08-16 13:53:26,3335,3983,1,1837.18
110,2025-08-21 01:52:53,1079,6529,3,1090.38
111,2025-08-22 18:39:28,2503,11489,3,115.14
112,2025-09-06 09:40:34,9772,19914,2,1924.66
113,2025-08-17 16:05:24,4486,15561,3,145.32
114,2025-09-10 11:17:56,4798,3894,2,314.82
115,2025-09-02 22:08:05,6904,2156,1,1598.67
116,2025-08-20 04:46:45,5777,16353,2,1581.76
117,2025-09-02 23:25:34,4950,3319,1,494.47
118,2025-08-14 15:49:15,718,13540,1,1549.57
119,2025-09-10 02:47:21,3175,4023,1,1012.82
120,2025-09-05 11:30:20,9801,16383,2,1761.07
121,2025-09-02 10:08:10,8205,14283,2,1111.41
122,2025-08-23 20:43:53,9610,5749,2,365.18
123,2025-09-01 13:29:57,7730,8304,3,886.13
124,2025-09-03 20:57:25,4360,3592,2,1166.77
125,2025-08-21 16:38:42,5944,2157,1,875.38
126,2025-08-13 01:02:51,1673,5981,3,1827.68
