order_item_id,order_id,product_id,quantity,price,item_total
1,1,15631,3,538.7,1616.1000000000001
2,1,12388,1,854.52,854.52
3,1,19468,1,1429.95,1429.95
4,1,4799,3,414.86,1244.58
5,1,6800,2,983.24,1966.48
6,2,18503,1,650.3,650.3
7,2,12700,1,115.26,115.26
8,2,12373,2,1454.51,2909.02
9,2,6620,2,557.65,1115.3
10,3,11148,3,766.75,2300.25
11,3,19933,1,621.95,621.95
12,3,8176,2,229.85,459.7
13,3,15778,1,694.61,694.61
14,3,12364,1,1538.31,1538.31
15,4,17831,3,1676.45,5029.35
16,4,1519,2,156.72,313.44
17,4,8130,3,1445.56,4336.68
18,4,6505,3,33.78,101.34
19,5,14191,2,1628.71,3257.42
20,5,15152,3,1948.26,5844.78
21,5,4506,2,1762.02,3524.04
22,5,11535,2,621.59,1243.18
23,5,2768,3,209.62,628.86
24,6,9592,1,1056.07,1056.07
25,6,10449,3,1540.04,4620.12
26,7,15715,2,1536.96,3073.92
27,7,5987,3,336.2,1008.5999999999999
28,7,19457,2,263.88,527.76
29,7,7599,2,450.43,900.86
30,7,12828,2,1534.61,3069.22
31,8,12707,1,177.65,177.65
32,8,13881,2,1030.2,2060.4
33,8,5803,2,1471.25,2942.5
34,8,10894,1,1181.5,1181.5
35,8,14095,3,1702.43,5107.29
36,9,16243,2,742.72,1485.44
37,9,6060,3,90.43,271.29
38,10,11292,1,341.46,341.46
39,10,1149,1,1910.48,1910.48
40,10,4200,3,1309.42,3928.26
41,10,5114,3,133.72,401.15999999999997
42,10,12122,1,1959.6,1959.6
43,11,3247,2,255.99,511.98
44,11,12747,3,92.13,276.39
45,12,3073,2,617.31,1234.62
46,12,11873,1,419.54,419.54
47,12,7521,1,419.52,419.52
48,12,5224,3,1217.21,3651.63
49,13,1560,1,1747.97,1747.97
50,13,7040,2,1096.95,2193.9
51,14,14004,3,604.26,1812.78
52,14,4152,3,886.22,2658.66
53,15,7084,2,1394.97,2789.94
54,15,19269,3,169.25,507.75
55,16,12447,3,641.38,1924.1399999999999
56,16,17658,3,634.45,1903.3500000000001
57,16,18535,1,952.47,952.47
58,17,13309,2,1064.35,2128.7
59,17,8166,3,276.4,829.1999999999999
60,17,19208,1,320.65,320.65
61,17,13719,3,672.93,2018.79
62,18,13464,1,1885.44,1885.44
63,18,15874,1,1401.44,1401.44
64,19,17313,1,563.19,563.19
65,19,803,2,1885.28,3770.56
66,20,8654,2,776.05,1552.1
67,20,11728,3,1326.67,3980.01
68,20,3360,3,242.47,727.41
69,20,2964,3,1634.67,4904.01
70,21,9411,1,1322.82,1322.82
71,21,13172,3,675.23,2025.69
72,21,3624,1,699.22,699.22
73,22,16362,3,1682.18,5046.54
74,22,8244,2,1359.96,2719.92
75,22,5806,3,836.81,2510.43
76,22,3334,2,874.32,1748.64
77,22,16861,2,1490.88,2981.76
78,23,7749,2,1078.14,2156.28
79,23,14847,1,1205.79,1205.79
80,23,551,2,1505.84,3011.68
81,24,2805,2,1556.83,3113.66
82,24,15168,3,1580.88,4742.64
83,24,10129,2,91.67,183.34
84,24,16755,2,573.0,1146.0
85,25,7448,3,1717.81,5153.43
86,25,760,2,1425.88,2851.76
87,26,4759,3,166.09,498.27
88,26,19002,1,1767.52,1767.52
89,27,1900,3,1515.51,4546.53
90,27,2428,2,1572.11,3144.22
91,27,5982,1,1200.96,1200.96
92,27,2343,1,404.04,404.04
93,27,10235,1,1864.16,1864.16
94,28,15077,1,756.35,756.35
95,28,17787,3,1039.23,3117.69
96,28,10105,2,1806.55,3613.1
97,28,10837,2,1398.38,2796.76
98,29,13675,3,1775.62,5326.86
99,29,13836,1,192.29,192.29
100,29,18378,2,89.19,178.38
101,29,11951,2,815.64,1631.28
102,29,12398,1,775.0,775.0
103,30,19989,3,1633.94,4901.82
104,30,841,2,423.89,847.78
105,31,7854,2,1081.87,2163.74
106,31,18681,2,100.43,200.86
107,32,10830,1,25.87,25.87
108,32,8608,3,1027.57,3082.71
109,32,2391,1,60.78,60.78
110,32,11861,2,35.83,71.66
111,33,19189,1,1082.13,1082.13
112,33,17035,3,1183.64,3550.92
113,33,17025,3,1971.1,5913.299999999999
114,33,3529,2,1454.12,2908.24
115,34,3399,2,1838.11,3676.22
116,34,2724,1,577.79,577.79
117,34,6380,1,645.96,645.96
118,35,11665,3,1350.14,4050.42
119,35,1559,1,866.44,866.44
120,35,17859,1,1793.48,1793.48
121,35,5047,2,767.55,1535.1
122,35,8097,1,487.81,487.81
123,36,16168,3,846.28,2538.84
124,36,8631,2,203.83,407.66
125,36,13599,1,1334.52,1334.52
126,36,646,1,1114.41,1114.41
127,37,11970,3,1608.05,4824.15
128,37,10866,3,632.5,1897.5
129,37,4296,3,396.25,1188.75
130,38,3920,3,179.42,538.26
131,38,2086,1,643.83,643.83
132,39,11399,3,661.28,1983.84
133,39,35,2,1549.73,3099.46
134,39,6924,1,1566.51,1566.51
135,39,15799,2,323.69,647.38
136,40,4186,2,254.22,508.44
137,40,12107,3,1342.71,4028.13
138,40,14478,3,265.44,796.3199999999999
139,40,17364,1,1213.74,1213.74
140,41,8483,3,416.93,1250.79
141,41,13100,1,590.72,590.72
142,42,3953,3,452.72,1358.16
143,42,17195,3,1581.19,4743.57
144,42,6884,3,794.48,2383.44
145,42,18559,2,693.86,1387.72
146,43,16570,1,1136.61,1136.61
147,43,11474,1,1705.97,1705.97
148,43,10429,1,1900.26,1900.26
149,43,12231,1,1616.8,1616.8
150,43,17410,2,1380.15,2760.3
151,44,4686,3,742.83,2228.4900000000002
152,44,14211,1,1121.76,1121.76
153,44,14029,3,1346.5,4039.5
154,44,9685,3,91.02,273.06
155,44,645,2,268.48,536.96
156,45,7521,1,419.52,419.52
157,45,5594,3,1455.45,4366.35
158,45,3751,3,599.17,1797.5099999999998
159,45,19320,2,676.47,1352.94
160,45,11412,3,1365.44,4096.32
161,46,1544,1,1576.18,1576.18
162,46,11386,3,1531.81,4595.43
163,46,7825,3,822.04,2466.12
164,46,1937,1,634.98,634.98
165,47,4870,1,1154.65,1154.65
166,47,8731,1,878.65,878.65
167,47,4904,2,1557.44,3114.88
168,47,1049,1,1387.95,1387.95
169,47,15603,2,1137.53,2275.06
170,48,5752,1,1632.45,1632.45
171,48,14472,2,1363.68,2727.36
172,48,9401,2,1908.69,3817.38
173,48,19571,1,429.08,429.08
174,48,6969,3,252.91,758.73
175,49,15711,3,423.23,1269.69
176,49,17253,3,1732.51,5197.53
177,50,9421,3,605.78,1817.34
178,50,3166,2,724.43,1448.86
179,50,18570,1,1152.29,1152.29
180,51,6657,1,1507.87,1507.87
181,51,1151,2,368.18,736.36
182,51,5432,1,175.86,175.86
183,52,14435,3,738.3,2214.8999999999996
184,52,6209,2,1156.12,2312.24
185,52,4263,1,627.01,627.01
186,52,9164,1,1702.53,1702.53
187,53,5654,2,1357.79,2715.58
188,53,12256,1,111.82,111.82
189,54,8584,2,1788.16,3576.32
190,54,9904,1,1739.03,1739.03
191,54,14139,2,986.04,1972.08
192,55,2258,3,714.93,2144.79
193,55,9954,2,1488.8,2977.6
194,55,12295,3,1559.86,4679.58
195,55,13884,2,1309.52,2619.04
196,55,3566,2,1132.33,2264.66
197,56,729,2,375.42,750.84
198,56,5543,2,396.91,793.82
199,56,7414,1,371.51,371.51
200,56,16451,2,1974.96,3949.92
201,56,3309,1,839.78,839.78
202,57,12242,1,575.1,575.1
203,57,10434,3,904.18,2712.54
204,57,388,2,1261.49,2522.98
205,57,8706,3,267.41,802.23
206,58,13190,3,1306.77,3920.31
207,58,9274,3,788.48,2365.44
208,59,7189,2,243.2,486.4
209,59,6919,2,706.52,1413.04
210,59,3205,2,1991.4,3982.8
211,59,17051,1,1014.41,1014.41
212,60,3422,3,31.9,95.69999999999999
213,60,18752,1,1414.23,1414.23
214,61,4107,2,316.09,632.18
215,61,17451,3,859.74,2579.2200000000003
216,61,8034,3,1032.99,3098.9700000000003
217,61,17257,2,871.61,1743.22
218,62,7916,1,461.83,461.83
219,62,1373,2,1370.39,2740.78
220,63,15770,1,236.15,236.15
221,63,14339,3,1685.63,5056.89
222,63,11315,3,781.64,2344.92
223,63,19789,2,1107.47,2214.94
224,64,7621,3,960.74,2882.2200000000003
225,64,922,3,355.93,1067.79
226,64,9546,1,465.65,465.65
227,64,19379,1,313.2,313.2
228,65,1907,3,240.48,721.4399999999999
229,65,18357,3,255.97,767.91
230,65,5350,1,1988.8,1988.8
231,66,11042,1,393.56,393.56
232,66,2422,1,1240.47,1240.47
233,66,16300,1,1687.75,1687.75
234,66,18646,3,1306.02,3918.06
235,66,1890,3,553.54,1660.62
236,67,11780,1,506.62,506.62
237,67,9672,2,1793.98,3587.96
238,68,1497,2,1965.69,3931.38
239,68,5775,2,24.39,48.78
240,68,17606,1,974.08,974.08
241,68,13981,3,75.45,226.35000000000002
242,69,5506,2,853.72,1707.44
243,69,12259,2,379.66,759.32
244,70,13211,3,1818.69,5456.07
245,70,7034,2,970.84,1941.68
246,70,3018,3,1156.37,3469.1099999999997
247,71,18963,2,1328.31,2656.62
248,71,2064,2,1929.49,3858.98
249,71,14233,1,303.78,303.78
250,72,2236,2,1005.54,2011.08
251,72,3180,2,597.47,1194.94
252,72,17031,2,1394.14,2788.28
253,72,18722,2,1220.11,2440.22
254,72,10583,3,1060.41,3181.2300000000005
255,73,10352,1,112.11,112.11
256,73,13982,2,705.65,1411.3
257,73,19477,1,1972.7,1972.7
258,73,1356,1,1013.06,1013.06
259,73,6957,1,1252.19,1252.19
260,74,590,3,216.13,648.39
261,74,15965,2,1824.35,3648.7
262,74,14566,2,1572.36,3144.72
263,75,12437,1,34.29,34.29
264,75,6090,3,613.94,1841.8200000000002
265,75,17361,2,1646.25,3292.5
266,75,8527,1,1424.7,1424.7
267,75,6112,3,260.87,782.61
268,76,18348,3,1612.0,4836.0
269,76,10560,1,1259.83,1259.83
270,76,17050,3,424.92,1274.76
271,76,16356,3,725.29,2175.87
