product_id,product_name,category_id,brand,price,updated_at
1,Wilson Perform,5,Wilson,998.74,2025-09-11 17:59:34
2,Michelin My,8,Michelin,1524.01,2025-09-11 17:59:34
3,Mobil Popular,8,Mobil,1341.39,2025-09-11 17:58:59
4,Heinz When,9,Heinz,1631.38,2025-09-11 17:59:33
5,Logitech Receive,1,Logitech,1881.27,2025-09-11 17:59:21
6,Michelin Condition,8,Michelin,1979.34,2025-09-11 17:58:59
7,Sephora Pull,6,Sephora,1956.68,2025-09-11 17:59:50
8,Simon & Schuster Our,2,Simon & Schuster,1157.67,2025-09-11 17:59:09
9,Unilever Option,9,Unilever,1504.08,2025-09-11 17:59:00
10,Under Armour Scene,3,Under Armour,10.7,2025-09-11 17:59:36
11,Nike Sort,5,Nike,540.48,2025-09-11 17:59:55
12,Goodyear Memory,8,Goodyear,237.04,2025-09-11 17:59:48
13,Dyson His,4,Dyson,901.98,2025-09-11 17:59:41
14,Nerf Total,7,Nerf,699.29,2025-09-11 17:59:41
15,Mattel Hold,7,Mattel,798.96,2025-09-11 17:59:41
16,Ikea Make,4,Ikea,1258.67,2025-09-11 17:59:53
17,Bosch Building,8,Bosch,1155.59,2025-09-11 17:59:14
18,Pilot Their,12,Pilot,1162.22,2025-09-11 17:59:38
19,Under Armour Likely,3,Under Armour,1274.94,2025-09-11 17:59:37
20,Gardena Establish,13,Gardena,1750.45,2025-09-11 17:59:31
21,Zara Cost,3,Zara,1417.21,2025-09-11 17:59:16
22,Yamaha Computer,11,Yamaha,449.39,2025-09-11 17:59:09
23,Gardena Partner,13,Gardena,1271.58,2025-09-11 17:59:32
24,Faber-Castell Clearly,12,Faber-Castell,1394.09,2025-09-11 17:59:44
25,Goodyear Member,8,Goodyear,1064.62,2025-09-11 17:59:02
26,Yonex Force,5,Yonex,967.51,2025-09-11 17:59:36
27,Kellogg's Statement,9,Kellogg's,1733.97,2025-09-11 17:59:30
28,3M Magazine,12,3M,526.75,2025-09-11 17:59:02
29,Spalding Source,5,Spalding,453.58,2025-09-11 17:59:36
30,Adidas Position,5,Adidas,1537.49,2025-09-11 17:59:19
31,Goodyear Life,8,Goodyear,1195.58,2025-09-11 17:59:43
32,Faber-Castell Attorney,12,Faber-Castell,981.96,2025-09-11 17:59:21
33,John Deere Chance,13,John Deere,1699.23,2025-09-11 17:59:09
34,Apple Determine,1,Apple,1262.85,2025-09-11 17:59:11
35,Husqvarna Indeed,13,Husqvarna,1549.73,2025-09-11 17:59:23
36,Black+Decker Allow,13,Black+Decker,865.92,2025-09-11 17:59:21
37,Penguin State,2,Penguin,417.98,2025-09-11 17:59:45
38,Apple Machine,1,Apple,1719.6,2025-09-11 17:59:15
39,Goodyear Nice,8,Goodyear,1244.64,2025-09-11 17:59:37
40,Faber-Castell Into,12,Faber-Castell,987.53,2025-09-11 17:59:44
41,Nike Walk,3,Nike,66.17,2025-09-11 17:59:57
42,KitchenAid Point,4,KitchenAid,1708.39,2025-09-11 17:59:37
43,Nivea Employee,6,Nivea,761.29,2025-09-11 17:59:22
44,Staples Lawyer,12,Staples,1801.96,2025-09-11 17:59:38
45,Decathlon Affect,5,Decathlon,1320.12,2025-09-11 17:59:39
46,Bosch Child,8,Bosch,818.23,2025-09-11 17:59:24
47,Penguin Environmental,2,Penguin,1808.58,2025-09-11 17:59:07
48,Nestle Ago,9,Nestle,1790.44,2025-09-11 17:59:37
49,Staples Everybody,12,Staples,822.3,2025-09-11 17:59:47
50,Asus Painting,1,Asus,843.33,2025-09-11 17:59:49
51,Mattel Economy,7,Mattel,788.82,2025-09-11 17:59:38
52,Spalding Color,5,Spalding,1565.61,2025-09-11 17:59:19
53,Puma Fact,3,Puma,1175.0,2025-09-11 17:59:49
54,Husqvarna Sport,13,Husqvarna,211.79,2025-09-11 17:59:47
55,Pilot Writer,12,Pilot,1418.67,2025-09-11 17:59:13
56,Bic Worker,12,Bic,717.94,2025-09-11 17:59:17
57,Whiskas Standard,10,Whiskas,1794.0,2025-09-11 17:59:43
58,Husqvarna Within,13,Husqvarna,387.71,2025-09-11 17:59:23
59,Faber-Castell Around,12,Faber-Castell,381.34,2025-09-11 17:59:03
60,Staples Lay,12,Staples,755.84,2025-09-11 17:59:35
61,Staples Short,12,Staples,1853.86,2025-09-11 17:59:35
62,Asus Sound,1,Asus,1887.85,2025-09-11 17:59:06
63,Panasonic Speak,4,Panasonic,316.8,2025-09-11 17:59:10
64,Mattel Exactly,7,Mattel,914.86,2025-09-11 17:59:00
65,Bic Into,12,Bic,1456.79,2025-09-11 17:59:46
66,Whiskas Somebody,10,Whiskas,354.56,2025-09-11 17:59:20
67,Samsung Various,1,Samsung,457.18,2025-09-11 17:59:10
68,Fisher-Price Drug,7,Fisher-Price,690.52,2025-09-11 17:59:32
69,Gardena Above,13,Gardena,384.66,2025-09-11 17:58:59
70,H&M Total,3,H&M,1158.55,2025-09-11 17:59:26
71,Mattel No,7,Mattel,88.55,2025-09-11 17:59:25
72,Nike Almost,3,Nike,1244.92,2025-09-11 17:59:31
73,Casio Cell,11,Casio,481.54,2025-09-11 17:59:07
74,Uniqlo Loss,3,Uniqlo,206.61,2025-09-11 17:59:48
75,Nestle Threat,9,Nestle,1304.77,2025-09-11 17:59:06
76,Michelin Light,8,Michelin,1012.66,2025-09-11 17:59:50
77,Hasbro Player,7,Hasbro,619.82,2025-09-11 17:59:54
78,Nerf Build,7,Nerf,1538.67,2025-09-11 17:59:29
79,Dell Live,1,Dell,994.56,2025-09-11 17:59:49
80,Mobil Begin,8,Mobil,711.2,2025-09-11 17:59:18
