order_id,user_id,total_price,order_date
1,4095,7111.63,2021-03-02 00:08:12
2,3826,4789.88,2021-11-03 18:12:18
3,6844,5614.82,2022-11-21 22:19:35
4,7592,9780.81,2022-03-27 12:52:52
5,7677,14498.28,2022-11-04 09:45:30
6,3231,5676.19,2021-09-04 00:48:17
7,3096,8580.36,2023-11-27 03:28:44
8,6517,11469.34,2024-07-21 11:35:41
9,1116,1756.73,2022-01-24 05:04:18
10,457,8540.96,2023-11-03 02:03:55
11,154,788.37,2024-06-16 04:30:47
12,7143,5725.31,2020-10-15 19:32:38
13,1501,3941.87,2022-09-20 12:47:28
14,6925,4471.44,2021-01-01 12:25:31
15,7619,3297.69,2025-06-10 15:02:35
16,2956,4779.96,2021-07-27 05:43:24
17,4295,5297.34,2023-09-07 06:39:05
18,828,3286.88,2025-05-05 12:49:34
19,5905,4333.75,2021-12-12 11:37:56
20,7755,11163.53,2024-05-18 20:41:05
21,7241,4047.73,2025-07-17 11:34:16
22,4993,15007.29,2023-10-16 05:40:20
23,680,6373.75,2022-12-28 09:34:25
24,111,9185.64,2022-05-06 16:26:16
25,8862,8005.19,2025-08-13 02:32:59
26,453,2265.79,2024-07-13 12:18:38
27,59,11159.91,2025-04-03 11:23:03
28,1829,10283.9,2022-01-04 09:29:53
29,312,8103.81,2023-01-08 14:18:51
30,7470,5749.6,2022-06-03 17:51:10
31,3296,2364.6,2020-09-12 04:01:40
32,509,3241.02,2020-10-05 05:56:19
33,1272,13454.59,2022-10-08 21:24:26
34,1507,4899.97,2022-10-21 21:19:15
35,6016,8733.25,2025-09-10 14:12:09
36,8929,5395.43,2021-02-01 02:26:40
37,1379,7910.4,2021-12-27 07:44:34
38,4502,1182.09,2021-11-12 21:16:46
39,4130,7297.19,2021-07-19 06:25:39
40,1300,6546.63,2025-07-06 20:27:24
41,3260,1841.51,2022-09-30 12:30:58
42,2276,9872.89,2025-01-20 04:12:47
43,9777,9119.94,2021-04-01 00:23:30
44,1178,8199.77,2025-02-13 03:21:11
45,4857,12032.64,2025-05-27 17:05:08
46,7853,9272.71,2021-10-31 15:41:00
47,6738,8811.19,2023-09-21 15:28:14
48,8908,9365.0,2021-12-28 13:30:26
49,6400,6467.22,2020-12-23 02:18:48
50,9107,4418.49,2024-09-13 06:37:13
51,7089,2420.09,2020-10-12 10:41:26
52,1495,6856.68,2024-10-24 11:36:23
53,2275,2827.4,2022-04-16 23:31:42
54,1310,7287.43,2025-03-29 03:51:08
55,8796,14685.67,2022-03-08 18:18:36
56,510,6705.87,2020-11-20 03:39:41
57,5854,6612.85,2021-04-06 10:10:10
58,4361,6285.75,2021-08-01 22:20:38
59,5429,6896.65,2024-12-12 16:21:23
60,9022,1509.93,2023-03-07 07:38:52
61,3526,8053.59,2022-11-25 20:10:08
62,4851,3202.61,2024-11-05 05:19:22
63,5112,9852.9,2022-04-03 10:58:33
64,8992,4728.86,2024-03-30 23:43:25
65,7666,3478.15,2023-12-07 21:15:50
66,5170,8900.46,2022-10-13 18:31:08
67,89,4094.58,2023-02-13 07:17:57
68,6756,5180.59,2023-02-25 11:43:13
69,8876,2466.76,2024-07-20 03:20:03
70,5244,10866.86,2022-10-23 02:29:30
71,1953,6819.38,2025-09-03 05:42:46
72,8686,11615.75,2022-07-03 20:06:03
73,3295,5761.36,2023-08-28 05:41:52
74,3951,7441.81,2024-09-06 17:57:01
75,3074,7375.92,2021-02-05 23:51:26
76,140,11058.42,2020-10-03 18:01:40
77,3214,8371.35,2023-07-19 07:14:47
78,9534,4314.22,2023-10-19 10:52:06
79,3202,2626.68,2023-10-31 07:17:48
80,3713,4668.78,2025-08-08 02:57:23
81,1378,4145.3,2024-01-13 19:07:16
82,1379,8255.01,2025-02-02 19:50:59
83,150,1683.47,2024-07-21 03:23:35
84,4440,3786.41,2021-02-25 06:00:53
85,1247,14710.53,2023-10-13 06:06:22
86,5686,11283.14,2025-05-02 09:44:49
87,198,7800.49,2023-02-06 03:55:09
88,6585,5789.46,2023-05-13 04:54:17
89,3963,8585.81,2020-10-05 23:36:13
90,6123,14471.66,2025-07-13 07:31:08
91,9593,5033.28,2025-01-24 07:20:58
92,4857,4695.64,2025-05-25 11:12:31
93,179,11783.33,2024-01-04 16:36:27
94,4764,7872.61,2022-06-02 02:07:21
95,808,11654.37,2023-07-07 11:34:55
96,6362,3385.01,2025-08-15 05:51:31
97,539,6461.32,2020-09-29 17:16:00
98,9029,5187.38,2025-03-30 00:26:19
99,7992,8607.59,2023-07-04 16:14:49
100,8946,4039.23,2022-07-24 23:00:38
101,9526,7427.79,2020-10-16 22:03:38
102,8166,4169.33,2025-06-29 08:02:07
103,3993,6498.05,2023-04-16 15:46:13
104,2427,15208.9,2024-03-11 11:14:45
105,645,4212.52,2022-03-07 17:32:42
106,1927,9501.61,2023-09-05 00:23:58
107,2349,9663.46,2021-02-21 20:59:25
108,7173,8861.19,2021-02-14 03:27:55
109,2564,8655.01,2024-10-15 15:15:59
110,3057,4354.65,2025-02-09 17:11:55
111,8037,10805.76,2024-09-11 02:21:47
112,255,12490.33,2023-01-11 02:27:49
113,4990,1201.85,2025-08-29 17:37:23
114,755,5253.92,2024-05-26 11:19:51
115,3306,4300.59,2021-04-04 08:47:19
116,2017,8049.31,2021-03-28 18:26:01
117,4107,4657.63,2024-04-11 12:55:31
118,6825,2937.17,2022-12-13 22:08:25
119,5069,7760.59,2024-02-20 13:06:25
120,7187,6831.43,2023-02-27 21:53:44
121,9566,10236.27,2021-06-30 08:58:19
122,4974,2139.36,2020-11-27 13:16:45
123,6820,6374.01,2022-07-20 07:59:56
124,8592,5208.91,2023-09-13 01:14:48
125,1150,7076.25,2023-03-14 17:31:45
126,7511,7622.16,2020-12-08 19:19:03
127,8160,2249.44,2023-08-14 01:22:18
128,8611,7619.45,2020-10-15 14:46:45
129,9430,16698.08,2021-11-21 02:05:47
130,7128,6397.77,2021-10-12 06:10:34
131,6001,1397.09,2020-09-17 12:15:24
132,4908,9219.67,2023-12-22 06:15:40
133,6795,4997.33,2024-07-14 19:02:45
134,9833,13006.59,2024-06-21 13:54:43
135,2886,4698.71,2021-10-05 09:39:18
136,4272,5687.38,2023-04-24 19:06:17
137,3660,7361.89,2023-08-26 18:03:28
138,2080,5963.98,2024-12-14 13:58:34
139,2974,4038.41,2021-03-25 17:26:26
140,5304,3614.25,2025-06-21 01:30:38
141,2860,8790.7,2025-08-21 05:28:34
142,4634,5938.25,2024-02-02 23:59:15
143,4684,9248.03,2020-10-13 06:03:19
144,8568,1500.43,2021-12-28 18:36:42
145,75,3857.5,2022-03-21 03:46:39
146,7401,9671.15,2025-03-25 09:52:52
147,4900,5654.67,2024-04-16 05:01:01
148,2325,2917.62,2025-03-07 00:37:17
149,2405,7571.28,2025-04-13 18:11:26
150,9876,14056.91,2025-04-08 18:41:17
151,1037,4670.43,2021-07-24 01:09:45
152,5901,4427.48,2021-03-09 12:41:38
153,6278,5186.14,2021-06-13 10:15:11
154,5661,7391.04,2020-12-01 06:39:03
155,9412,9462.31,2022-02-22 18:08:41
156,4280,3528.27,2022-04-21 19:07:56
157,8830,8552.32,2023-01-24 18:15:20
158,8896,9166.31,2024-07-11 08:47:51
159,2959,5094.24,2023-02-15 18:41:19
160,1754,2802.41,2022-03-03 00:01:38
161,545,8327.3,2024-06-16 20:29:57
162,8576,9727.51,2022-01-24 17:21:26
163,6886,7718.56,2023-11-08 01:06:37
164,8354,3578.83,2024-02-18 14:05:15
165,1416,6267.56,2021-07-12 04:30:30
166,2453,8428.18,2021-12-01 18:45:55
167,7975,5152.73,2023-12-14 06:25:10
168,5502,11213.71,2022-05-10 09:45:35
169,5408,6446.76,2020-12-28 05:13:23
170,1920,5347.02,2021-01-06 00:40:45
171,9262,5469.55,2025-05-27 18:32:47
172,8201,10526.06,2023-01-16 13:32:55
173,6504,2052.49,2025-07-20 11:42:08
174,6435,8224.1,2023-10-23 10:06:34
175,459,2797.18,2021-11-17 20:31:05
176,211,553.23,2020-12-18 19:00:52
177,6098,2364.67,2024-06-15 14:01:47
178,2654,7660.6,2025-05-09 00:28:53
179,5426,7877.79,2024-03-10 03:19:45
180,9927,7613.85,2021-06-23 14:54:42
181,1027,8034.93,2022-10-18 21:56:58
182,6646,6393.3,2021-05-03 21:47:29
183,8849,5212.86,2024-11-09 16:22:08
184,1248,5484.34,2024-09-29 14:46:37
185,5794,6089.69,2025-03-26 22:11:07
186,1737,7125.63,2024-04-01 18:19:29
187,9910,4051.01,2025-07-25 07:29:04
188,6955,6316.92,2024-04-29 08:37:46
189,601,8206.84,2022-05-02 13:42:22
190,6437,10996.19,2024-01-05 23:49:21
191,2849,7812.9,2025-06-27 10:28:23
192,6713,10313.09,2024-01-21 11:47:56
193,5854,1583.86,2022-03-28 05:41:30
194,1506,3029.8,2022-07-08 15:09:39
195,1722,5932.47,2024-08-05 23:54:04
196,9437,5851.06,2022-08-21 11:34:39
197,7995,5147.01,2023-12-18 00:43:52
198,2237,2055.08,2023-06-19 07:40:18
199,5473,2817.22,2023-03-23 00:00:01
200,6428,4773.96,2024-08-25 17:22:52
201,4403,9068.44,2022-06-01 14:23:27
202,4468,11025.14,2020-11-01 23:03:06
203,9882,8253.35,2025-01-31 15:38:08
204,8906,11529.6,2022-11-13 14:23:36
205,4166,12184.95,2021-02-18 06:46:42
206,2909,5926.55,2023-09-20 17:20:06
207,6712,8712.49,2023-10-31 23:06:13
208,5640,7461.31,2022-02-18 19:29:31
209,788,1712.2,2024-12-23 08:49:11
210,3548,11990.0,2021-09-07 02:09:53
211,1450,7522.62,2024-07-31 01:59:03
212,1800,6447.06,2025-03-23 20:19:45
213,6222,6267.93,2022-09-25 19:02:36
214,3762,5357.18,2023-09-27 20:54:42
215,6814,6580.18,2025-08-12 21:39:37
216,5101,5409.04,2023-05-30 01:10:20
217,2479,10074.88,2022-04-03 21:21:22
218,315,4528.66,2023-10-26 17:40:22
219,537,10230.28,2023-10-15 04:33:28
